场次号,联赛,主队,客队,比分,赔率
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2:5,200.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,0:5,300.00
周六020,德甲,多特蒙德,汉堡,00:30,2:0,7.00
周六020,德甲,多特蒙德,汉堡,00:30,2:1,7.25
周六020,德甲,多特蒙德,汉堡,00:30,3:0,8.50
周六020,德甲,多特蒙德,汉堡,00:30,1:0,9.10
周六020,德甲,多特蒙德,汉堡,00:30,3:1,9.25
周六020,德甲,多特蒙德,汉堡,00:30,1:1,10.00
周六020,德甲,多特蒙德,汉堡,00:30,4:0,13.50
周六020,德甲,多特蒙德,汉堡,00:30,4:1,16.00
周六020,德甲,多特蒙德,汉堡,00:30,2:2,18.00
周六020,德甲,多特蒙德,汉堡,00:30,3:2,21.00
周六020,德甲,多特蒙德,汉堡,00:30,0:0,24.00
周六020,德甲,多特蒙德,汉堡,00:30,1:2,25.00
周六020,德甲,多特蒙德,汉堡,00:30,5:0,27.00
周六020,德甲,多特蒙德,汉堡,00:30,0:1,30.00
周六020,德甲,多特蒙德,汉堡,00:30,5:1,30.00
周六020,德甲,多特蒙德,汉堡,00:30,4:2,35.00
周六020,德甲,多特蒙德,汉堡,00:30,3:3,58.00
周六020,德甲,多特蒙德,汉堡,00:30,0:2,60.00
周六020,德甲,多特蒙德,汉堡,00:30,2:3,65.00
周六020,德甲,多特蒙德,汉堡,00:30,5:2,65.00
周六020,德甲,多特蒙德,汉堡,00:30,1:3,75.00
周六020,德甲,多特蒙德,汉堡,00:30,0:3,200.00
周六020,德甲,多特蒙德,汉堡,00:30,2:4,300.00
周六020,德甲,多特蒙德,汉堡,00:30,1:4,350.00
周六020,德甲,多特蒙德,汉堡,00:30,0:4,550.00
周六020,德甲,多特蒙德,汉堡,00:30,2:5,600.00
周六020,德甲,多特蒙德,汉堡,00:30,1:5,700.00
周六020,德甲,多特蒙德,汉堡,00:30,0:5,800.00
周六021,意甲,蒙扎,乌迪内斯,00:30,1:1,6.00
周六021,意甲,蒙扎,乌迪内斯,00:30,0:1,7.25
周六021,意甲,蒙扎,乌迪内斯,00:30,1:0,8.00
周六021,意甲,蒙扎,乌迪内斯,00:30,1:2,8.50
周六021,意甲,蒙扎,乌迪内斯,00:30,0:0,9.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:1,9.25
周六021,意甲,蒙扎,乌迪内斯,00:30,0:2,11.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:0,13.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:2,15.00
周六021,意甲,蒙扎,乌迪内斯,00:30,1:3,21.00
