场次号,联赛,主队,客队,更新时间,比分,赔率
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:2,14.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,3:0,12.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,3:1,11.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,3:2,19.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,3:3,60.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,4:0,25.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,4:1,22.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,4:2,41.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,5:0,70.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,5:1,60.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,5:2,80.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:0,18.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:1,19.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:2,34.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:3,80.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:4,350.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,0:5,750.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:0,9.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:1,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:2,14.50
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,1:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:0,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:1,6.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:2,14.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,2:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,3:0,12.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,3:1,11.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,3:2,19.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,3:3,60.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,4:0,22.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,4:1,21.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,4:2,38.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,5:0,55.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,5:1,50.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:09,5:2,80.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:0,20.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:1,20.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:2,36.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:3,80.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:4,350.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,0:5,750.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:0,9.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:1,8.50
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:2,15.50
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,1:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:0,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:1,6.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:2,14.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:3,39.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,2:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,3:0,12.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,3:1,11.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,3:2,19.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,3:3,60.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,4:0,20.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,4:1,20.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,4:2,35.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,5:0,50.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,5:1,45.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:55,5:2,70.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:0,23.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:1,21.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:2,40.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:3,100.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:4,350.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,0:5,750.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:0,9.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:1,8.75
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:2,17.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:3,40.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,1:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,2:0,8.25
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:51:43,2:1,7.00
